Name,Label
Academic Writing Session,1
Set SMART goals to guide professional development.,1
Overcommit to personal projects outside of Bangkit curriculum.,0
Artificial Intelligence model training,1
Supply Chain Management logistics plan,1
Modern Languages translation exercise,1
Organize a sunset hike,0
Organize digital photos,0
Research Skills Workshop,1
Organize a night of stargazing,0
Submit Your Assignment SS-03 Immediately,1
[Non Mandatory] Company Expose with Bizzagi,0
Mentorship program evaluation,1
Actively listen to colleagues' perspectives and feedback.,1
Explore potential career paths within the tech industry.,1
Engage in gossip or drama within Bangkit cohort.,0
Research Collaboration Meeting,1
Organize a nature walk,0
ILT-ML-05-AX Going Beyond the Basics: Advanced Deep Learning Techniques with TensorFlow,1
Professional Conference,1
Writing Skills Workshop,1
Academic Conference Call,1
Participate in a Flash Freeze,0
Client Presentation about new product,1
Sports Management event planning,1
Portfolio Review,1
Spend excessive time perfecting the design of presentation slides.,0
Student Advisory Council Meeting,1
Visit a Local Fashion Show,0
Attend Community Health Workshop,0
submitting the Logbook,1
Plan a DIY repair project,0
Research Presentation Preparation,1
Overindulge in online tutorials or courses unrelated to Bangkit curriculum.,0
[Non-Mandatory] Cohort Room with Bangkit Team,0
Theatre script analysis,1
Thesis Defense,1
Attend Auto Show,0
Submit Your Logbook,1
Attend a Fantasy Convention,0
Plan a movie night,0
Spend excessive time perfecting coding environment setup rather than coding.,0
Instill values of responsibility and accountability in academic endeavors.,1
Create a daily gratitude log,0
Try new recipes,0
Organize holiday decorations,0
"Manage finances responsibly, including budgeting for expenses.",1
Licensing requirement review,1
Bi Weekly Feedback to Mentor #2,1
Work on Online Course (Health and Nutrition),0
Real Estate market analysis,1
Join a Baking Class,0
English assignment,1
Create a personal logo,0
Attend a Monster Truck Rally,0
Cultural Resource Management artifact cataloging,1
Philosophy debate preparation,1
Disability Studies accessibility audit,1
Financial Planning and Budget Review with CFO,1
Organize a movie screening,0
Create a music video,0
Attend Parent-Teacher Conferences,1
Botany plant classification,1
Ethnic Studies community history project,1
Visit a City Walking Tour,0
Student Research Day,1
Spend time excessively debating coding methodologies with peers.,0
Submit Essay Assignment,1
Professional Internship,1
